symbol,time,open,high,low,close,volume,date,average_sentiment_score,log_sentiment_score
TSLA,2024-08-06 00:00:00-04:00,201.12,202.885,192.775,200.37,831851,2024-08-06 00:00:00.000000,0.9262905418872832,-0.0765673334109209
TSLA,2024-08-07 00:00:00-04:00,200.77,203.45,191.495,191.82,632497,2024-08-07 00:00:00.000000,0.9476227462291718,-0.0537988029446833
TSLA,2024-08-08 00:00:00-04:00,195.91,200.68,192.13,198.97,412244,2024-08-08 00:00:00.000000,0.9208216150601704,-0.0824889476317229
TSLA,2024-08-09 00:00:00-04:00,196.92,200.86,195.16,199.99,434119,2024-08-09 00:00:00.000000,0.9860371053218842,-0.0140612929152777
TSLA,2024-08-12 00:00:00-04:00,198.94,199.21,194.73,197.55,690174,2024-08-12 00:00:00.000000,0.9310888350009918,-0.0714005873516949
TSLA,2024-08-13 00:00:00-04:00,198.61,208.44,197.1,207.9,833266,2024-08-13 00:00:00.000000,0.915874306644712,-0.0878761435436909
TSLA,2024-08-14 00:00:00-04:00,207.5,208.33,198.8,201.37,498882,2024-08-14 00:00:00.000000,0.9565212064319186,-0.0444523194830739
TSLA,2024-08-15 00:00:00-04:00,205.29,215.83,205.04,214.205,913424,2024-08-15 00:00:00.000000,0.932443054822775,-0.0699471965430269
TSLA,2024-08-16 00:00:00-04:00,211.08,219.77,210.9,216.19,743200,2024-08-16 00:00:00.000000,0.9400409360726676,-0.0618318556528421
TSLA,2024-08-19 00:00:00-04:00,217.09,222.97,214.14,222.73,689481,2024-08-19 00:00:00.000000,0.9517881373564402,-0.0494128137511941
TSLA,2024-08-20 00:00:00-04:00,224.74,228.15,219.575,221.09,860681,2024-08-20 00:00:00.000000,0.969588699794951,-0.0308833182369082
TSLA,2024-08-21 00:00:00-04:00,222.6,224.59,218.88,223.21,484491,2024-08-21 00:00:00.000000,0.9586554444753208,-0.042223554918868
TSLA,2024-08-22 00:00:00-04:00,223.99,224.7,210.33,210.75,666856,2024-08-22 00:00:00.000000,0.9420290546757836,-0.0597191612765625
TSLA,2024-08-23 00:00:00-04:00,214.505,221.45,214.48,220.25,797564,2024-08-23 00:00:00.000000,0.9535283872059414,-0.0475860828002016
TSLA,2024-08-26 00:00:00-04:00,218.725,218.95,211.01,213.24,695531,2024-08-26 00:00:00.000000,0.9947816296057268,-0.0052320336430492
TSLA,2024-08-27 00:00:00-04:00,213.28,215.59,207.025,209.14,436659,2024-08-27 00:00:00.000000,0.8903218848364693,-0.1161722132866027
TSLA,2024-08-28 00:00:00-04:00,209.75,211.48,202.6,205.71,530316,2024-08-28 00:00:00.000000,0.9915202736854554,-0.0085158837422206
TSLA,2024-08-29 00:00:00-04:00,209.82,214.79,205.98,206.31,678868,2024-08-29 00:00:00.000000,0.9380815252661704,-0.0639184198228898
TSLA,2024-08-30 00:00:00-04:00,208.79,214.565,207.15,214.2,567599,2024-08-30 00:00:00.000000,0.9501723738817068,-0.0511118646556493
META,2024-08-05 00:00:00-04:00,451.4,483.38,450.95,475.97,620938,2024-08-05 00:00:00.000000,0.9300472736358644,-0.0725198622602102
